STAT6,GPR137
SLC8B1,RNPEP
TRPC4AP,NPFFR1
LAPTM4A,COL6A3
FOXD3,PLXNB2
RNF10,C1ORF35
ITGB1,ADCY9
LRRC59,KMT5B
SNAP23,SDCBP
ABCB11,MYH9
TMEM14C,AMOTL2
VIM,NDUFB5
LAPTM4A,CRYAB
MTCH1,CD151
WIPF1,S100A11
ANXA5,SLC35A1
CAPNS1,DUSP18
RNF10,LEFTY1
PBXIP1,C5ORF46
LAPTM4A,FRMD5
VIM,TRPC4AP
RNF10,SLC26A2
RNF10,OR2L13
TMBIM1,CERS2
PRLHR,S100A11
LIPA,RARS
RASSF1,S100A11
HSP90AA1,H2AFJ
CST3,CNP
BATF,S100A11
SLPI,TRIM28
GPRC5A,BEST1
CSDE1,LIMD2
CRK,NT5DC2
DNAJB12,EXT2
BMPR1B,CRK
KLK8,PRKCSH
CAPNS1,VAV1
CNBP,SDR16C5
CSTB,HP
SPTBN1,GALNT2
S100A11,KRT14
CHKA,CRK
AUP1,ICA1L
RNF10,CHST5
CD1D,CSTB
PCSK7,CNBP
BPHL,ITGB1
JPH2,PLXNB2
SLC12A5,ANP32B
CAPNS1,MPDU1
GSTO1,PNRC2
CADM3,GRINA
RREB1,ITGB1
CTSZ,DMBX1
BEST1,LPAR5
CAPNS1,PTPN14
MYH9,PFKFB3
TNNT1,EIF4H
PUM1,INPP5B
COG5,COL1A2
PICALM,GADD45B
ITGB1,ELOVL2
CAPG,S100A6
CAMKK1,ITGB1
TRPM6,ANP32B
HNRNPUL1,PTH1R
APLP2,CDCA4
RRAGC,P4HB
SLC23A2,TRPC4AP
PSD2,ITGB1
FGF17,CRK
CAPNS1,APP
ZFYVE21,GSTO1
CLIP2,ITGB1
DUSP18,HSPA4
ANP32B,KIRREL3
BSG,ESRRA
LAPTM4A,ARPC5
EGFL7,S100A6
GDPD3,BSG
EIF4H,LTBP2
VCL,NUDT14
CAPNS1,PINK1
EFR3A,TPM2
CRK,CPEB1
PRAME,S100A6
EIF4H,STX2
SZRD1,LRCH4
ITGB1,PTDSS2
RBCK1,SDCBP
MKKS,S100A11
FAM189B,TM4SF1
FTH1,IPP
TFPI,LAPTM4A
CLTA,CEBPB
EIF4H,HS3ST5
RNF10,ANXA6
BSG,PTCHD4
CNOT11,SLC2A14
CRK,MTA1
GSTP1,TMED6
CPO,GRINA
TBXAS1,CAPNS1
EPS8,CLIC1
GSTP1,PLSCR1
STAT6,ZFP36L1
BEST3,ITGB1
LCT,SUMO3
KCNT1,ILK
ELOVL3,USP22
RNF10,SERPINA1
TRPC4AP,SNPH
IFT172,ITGB1
EIF2AK2,IFITM1
CSDE1,GLI2
PICALM,MITF
ARHGEF2,S100A11
TNIP1,HNRNPF
UBA1,DDX3X
PDGFRB,DPP7
GSN,S100A6
SDC4,TTYH3
PRMT7,CRK
KMT2C,COL4A2
ITGB1,ZNF814
CAPNS1,DNAJC22
TNFAIP8,S100A11
RAB38,MAPKAPK2
EIF4H,HOXB13
SLPI,NDUFA13
BEST3,CD63
CTSZ,TMEM87B
TMEM87B,S100A6
P4HB,ATAD3C
PTPRA,PAX9
VGLL4,COL4A1
CTSA,PICALM
CSTB,CMKLR1
LAPTM4A,SNAI1
IGLON5,PNRC2
ARSA,CAPNS1
PPP4R1,S100A11
MCM10,CRK
PRKCSH,NTF4
ARPC1B,TALDO1
IL11,PNRC2
CPE,CALU
MEF2C,S100A11
GNAS,ATP10D
PICALM,OPRL1
ALS2,ITGB1
HNRNPA2B1,SAMD8
TMEM14C,CDH6
CTSZ,PCDHGB4
CD63,PLEKHA6
IGF2BP1,PNRC2
WSB2,S100A13
EIF4H,SLC38A2
TCN1,OS9
SNPH,ITGB1
GNAS,SYNC
SLC13A3,CPNE1
TMEM14A,S100A10
ITGB1,ZNF471
GADD45B,ESYT1
DVL1,PCYOX1
IFITM1,SBSN
ZSWIM4,ITGB1
AACS,CAPNS1
ITGB1,MAGI2
ITGB1,ZNF611
FAM129B,USP19
RNF10,ZDHHC1
FERMT3,S100A11
EIF4H,CCDC88A
ANP32B,SH3TC2
HDGF,FAM3B
CCRL2,CSTB
LAPTM4A,RLF
COL4A1,POM121
VKORC1,ZFP36L1
GSTP1,CDH11
EIF4H,UGCG
MTCH1,PHLDA2
PPP1R15A,AHNAK
ERGIC3,ZFP36
KCNG1,PIGT
BOC,ITGB1
ACTN4,PRICKLE1
ACTN4,FURIN
EIF4H,ZNF655
TRIM28,ST6GALNAC4
UGGT2,NUCB1
NUCB1,GFRA3
PRKCSH,NECTIN2
CTSZ,ZBTB8B
ITGB1,ZNF160
ITGB1,SETBP1
ZC3H15,MYH9
CAPNS1,PKP3
PLAT,TMEM14C
CCNI,INPPL1
PUS3,DUSP1
ADRA2A,BSG
SIRT4,CAPNS1
LAPTM4A,PCDHGB2
RNF10,HAVCR2
DHCR24,TPM2
RARRES2,HDGF
ERI3,INPP5B
ST8SIA5,ITGB1
ABHD5,CLIC1
CD63,IL15
STAU1,KCNA6
CAPNS1,TMPRSS6
NUCB1,ADPRHL1
BSG,ERBB4
CDK2AP1,TK2
CNIH1,UBE2J2
CHKA,COL1A2
HDLBP,ARRB2
RNLS,CLIC1
CPA4,GHITM
CCNI,STEAP4
KIF20A,CCNI
RASD2,CAPNS1
DUSP1,MAPK8IP1
MYH9,LEPROT
UBFD1,JUNB
MANBAL,SERF2
RNF10,PLPP6
LAPTM4A,ANKRD28
DEK,RBPMS
HOXA2,CCDC47
PRKCSH,ZNF160
TIMP3,SLC4A2
MLEC,GJB4
LAPTM4A,HTRA1
ITGB1,ZNF418
EFHD2,S100A11
PNKD,ZFP36L1
SLC35D2,MAPKAPK2
LAPTM4A,OTULIN
