,All_Type
ARMC1-YWHAZ,0
RPN1-SH3BGRL,0
HRAS-ATXN1L,0
BRCA2-PPARA,0
PTTG1-RELT,0
BOD1L1-PPP2R1A,0
MAP3K4-PRKDC,0
HRAS-VTI1A,0
MRPL47-BRCA1,0
DHX37-FKBP7,0
EIF4G1-SLITRK4,1
ARPC5-COPS5,0
ENDOG-NDUFA8,0
NUP85-TAF2,0
KRAS-NUP37,0
QSOX1-ZNF805,1
NAE1-RNF168,0
CASP3-TNFRSF10A,0
MRPL22-RBM17,0
PPP1CC-TYK2,0
GTF2H1-MED1,0
PLSCR1-ZNF467,0
PTEN-TTC31,0
LONP1-MED28,0
BLM-ERGIC1,0
CSK-PADI2,0
BRAF-HRAS,0
NDUFB1-STMN1,0
RASA2-TCEA3,1
HSPA14-NRAS,0
BCAT2-BCL2L1,0
PLOD1-UCK2,0
BCAR3-SLC2A1,0
GSTP1-RGS16,0
CSK-MPZ,1
BUB3-KCTD10,0
BROX-NAE1,0
GOLT1B-LEO1,0
EEF1D-CARD6,0
NRAS-NUP93,0
IL1RN-PWWP2A,0
ARIH1-PDRG1,0
HSPA4-TCEA2,0
INSR-TP53,0
PTCD1-STX11,1
GYPC-TWISTNB,0
HRAS-PINK1,0
CDC26-TRNAU1AP,0
DLC1-LRCH4,0
KRAS-BCAS2,0
CSNK1E-MYC,0
ARGLU1-EIF3C,0
CSK-MRPS9,0
AP3B1-TAF9,0
MFI2-RNF40,0
SLCO4A1-TRIM44,0
CSK-MLLT11,0
TIPIN-TTC4,0
PSMB6-KRAS,0
NRAS-TNRC6C,0
DSN1-NR4A3,0
CAMK1D-DCK,0
MUS81-TOMM40,0
POLE-PPM1D,0
POLR2K-PPCS,0
PTEN-KCNQ1,0
COQ2-ROMO1,0
ARPC4-NRAS,0
SIRPA-ZC3H8,0
KRAS-TMEM102,0
ETS1-TP53,0
LEO1-RPF2,0
FANCI-RFC4,1
KRAS-FAM160A2,0
ABL1-PDLIM5,0
CASP1-SSB,0
SCYL2-UBE2H,0
MAP2K1-STK11,0
FEN1-PARP1,0
DAGLB-NFIC,0
RNF168-SH2D2A,0
LRCH4-PMP22,0
BCR-CLTA,0
AFG3L2-CKAP5,0
NAE1-SMARCAL1,0
BLM-TMEM70,0
KRAS-RPAP1,0
NAE1-TOP1,0
CHKA-CRK,0
EIF2B3-OPRL1,1
HRAS-MCM5,0
UQCRC2-FH,0
REPIN1-TSC22D2,0
NACA-NUP43,0
TM9SF2-UGP2,0
KRAS-SLC39A11,0
METTL17-NUP54,0
UBE2D3-PTAR1,0
NACA-SNRNP70,0
CETN2-RRM1,0
ECE2-RGS1,0
BRCA1-IGHMBP2,0
METAP2-NRAS,0
ATP10A-STAU1,1
MAP3K1-FH,0
EPS8-GGCT,0
COPS4-FARSA,0
CDC16-HRAS,0
ATAD2B-NAE1,0
CHD7-COMT,0
EIF3H-PSMD12,0
BTBD1-NRAS,0
CFL1-NRAS,0
BCL10-EXT1,0
BRCA2-CCT2,0
ERCC8-NAE1,0
DCBLD1-ZNF513,0
ARHGAP31-TPX2,1
CDK8-ILK,0
GTF2H4-RPL5,0
HP-PTCD1,1
AQR-LEO1,0
NFE2L1-PSMD1,0
DHX37-RASA2,0
FARP1-UPP1,0
PTGS1-TPM1,0
CDC7-MAP3K3,1
BRCA1-SSBP1,0
CSK-ELAVL4,0
BCR-UTP14A,0
SUMO1-ASAP1,0
BAK1-COPS5,0
MRPS15-CAPRIN1,0
PRICKLE4-SCRN1,0
BRD2-HMGCR,0
CHI3L2-NUP107,1
SEC22B-TAF2,0
BRD2-EHMT2,0
ETAA1-LEPR,1
NAE1-OSGIN1,0
CAMK2G-PRKCD,0
CENPM-MED28,1
CENPK-VPS72,1
KNTC1-LIG1,1
FBXO28-PNN,0
KRAS-PSMD11,0
RIOK1-SMG1,0
POLR2K-TRMT5,0
BNIP1-TTC4,0
RPN1-VPS53,0
RTN4-ZNF598,0
KRAS-NHEJ1,0
HDGF-MAP4,0
BLM-PLEKHG3,1
NOTCH2-PFDN1,0
MFI2-ZNF573,1
COX6C-TRRAP,0
BBS7-PTPN7,0
PDIA5-PUM1,0
SHFM1-KRAS,0
MTERF4-NAE1,0
ANAPC1-KRAS,0
GPRC5C-WDR41,0
CDC26-MASTL,0
CDK6-POLD4,0
GABARAP-YWHAZ,0
BHLHE40-ZNF282,0
KMT2E-EZH2,0
CETN3-CLDND1,0
BLM-KLF2,0
HRAS-PLEKHG2,0
MCM3AP-POLR2K,0
LIN7C-RAB1A,0
RABIF-TMBIM1,0
CSK-STMN1,0
RELA-SESN2,0
LTBP4-RPA3,0
DDX46-PSMD1,0
DARS2-STX11,0
ADPRM-EIF3D,0
SLC37A3-BRCA1,1
ATP2A2-KRAS,0
EIF3D-PPCS,0
EIF3M-TUBGCP4,0
MAP3K1-CCND2,0
BTK-NAE1,0
DHX15-MRPL3,0
NAE1-PELI1,0
PPP2R1A-TUBGCP3,0
NDUFA10-QSOX1,0
NAE1-S100Z,0
BCR-SEL1L,0
CLINT1-EXOC5,0
NAE1-TTC39C,0
PHLDA2-PTPRN2,0
HBS1L-PTTG1,0
FBXW7-SNRPB2,0
DAP3-PGK1,0
ATP6V1G1-EXOSC9,0
DYNC1LI1-MKRN2,0
BDP1-NACA,0
CSK-ADAM28,0
BUD13-TSC22D2,0
ATM-IGHMBP2,0
LRRC42-RASA2,0
COPS4-EIF3D,0
FXR2-HSPB1,0
ATM-POLD4,0
CDC25B-TOP1,0
RNF11-SLC35C2,0
SKI-SMAGP,0
DGKG-RBM39,1
OGFOD1-PNN,0
CSNK1D-TYMS,0
PDIA5-USP32,0
METAP2-RPA3,0
CEP152-PSMD1,0
CNOT7-TP53,0
GTF2E2-MYC,0
CREB3L2-ZNF598,0
EXOSC4-MPHOSPH6,0
GCNT2-HN1L,0
NDUFA8-RBM18,0
BIRC3-WRN,0
RPL36A-WDR70,0
RBFA-TUBGCP3,0
JUP-TRIO,0
KRAS-MRPL17,0
MTOR-RAD23B,0
FAM60A-TPM2,0
NRAS-ZNF76,0
CYBA-NAE1,0
NUDC-RPL13,0
CMAS-MAPRE1,0
PCM1-RGS19,0
MUS81-CTNNBL1,0
CAPN2-SUDS3,0
AXIN1-CRTC1,0
TMBIM1-CERS2,0
RASA1-TP53,0
IMMP2L-OSBPL5,0
KRAS-RLF,0
DMD-IGF2BP3,1
HRAS-IKBKB,0
MUS81-ZNF654,0
JAK1-NRAS,0
EXOSC9-MRPL42,0
FASTKD5-ITPA,0
ATP10A-KRAS,1
BTF3-NACA,0
KRAS-DBN1,1
MAN1C1-RALY,0
GALT-KRAS,0
COX6C-POLR2K,0
COG3-WDR7,0
FCGR2A-MTL5,1
C1RL-TMEM14A,0
VCL-TWSG1,0
CDK12-PIM1,0
HSPA5-PELO,0
EIF2AK1-STAT6,0
PPWD1-RNGTT,0
HRAS-SH2D3A,1
ASCC3-RPLP1,0
PHACTR1-TPX2,1
GNS-RELA,0
BIRC3-PER1,0
NAA38-POT1,0
CDC26-PPP2R1A,0
HRAS-SRR,0
RAD1-SUB1,0
RPL13A-UNG,0
KREMEN1-MYC,0
NAB2-PHYH,0
SH3BGRL3-SNRNP27,0
NACA-PTTG1,0
DDX10-IL6ST,0
PTPN12-SHKBP1,0
EXOSC9-WDR77,0
EI24-LPGAT1,0
PSMA1-RPF1,0
ATP10A-PCBP1,1
AXL-GRB2,0
KRAS-AHSA1,0
HRAS-TAF5,0
HRAS-KCTD3,0
DDIT4-ZNF148,0
CRTC3-MINA,0
CDK12-KSR1,0
ALAD-CHD1,0
GTF2H4-SKIV2L,0
MUS81-MYO9A,0
KRAS-CDR2,0
ATM-WRAP53,0
HLA-DOB-NRAS,0
CDC7-RFC2,1
HRAS-MCM6,0
COA3-MED28,0
SRD5A1-UTRN,0
COA3-CTNNBL1,0
NUDT9-S100A11,0
COX6C-OGFOD1,0
PARP1-TP53,0
PSMD1-SRSF7,0
FZR1-CHEK1,1
CD226-HRAS,0
JUN-NAE1,0
BCR-RYK,0
AFG3L2-RPS28,0
LLPH-SRF,0
CSK-DPM2,0
APP-TP53,0
RPS6KB1-DLD,0
CDK6-TP53,0
TGIF2-KRAS,0
PPARGC1B-TPD52L2,0
ITCH-MFN1,0
ETAA1-CDK2AP1,1
IRF7-SPIB,0
EPS8-RNASET2,0
HRAS-PSMA4,0
BCR-GLIPR1,0
SMAD4-TOB1,0
CMSS1-NFIC,0
CTNNA1-KRAS,0
GGA3-SLC25A19,0
BCL2-WEE1,1
RGS19-ZSWIM6,0
PRIM2-PSMD1,0
CNOT7-CCAR2,0
CD14-NAE1,0
MUS81-PPP3CA,0
BLM-ATXN7L1,0
RAD17-DLD,0
MRPL11-RBM17,0
KDM4B-MED16,0
CETN2-PARP2,0
EIF3M-TUBGCP3,0
TM9SF2-CD46,0
PPIE-RPS5,0
ARIH1-PSMD12,0
FAM129B-KDM3A,0
BCL10-TRIP11,0
MPHOSPH6-SLC39A9,0
MED23-RPTOR,0
BCL2L11-NAE1,0
EEF1E1-NMD3,0
NRAS-PSMD6,0
CCDC130-STRN4,0
CLIP2-ITGB1,0
OSBPL11-PLXNA3,0
MAP3K1-SS18L1,0
LMBRD1-CD46,0
FAM76A-RNF24,0
FAM76B-KRAS,0
COPE-SPAG7,0
CALU-PLOD3,0
CENPM-EFR3A,1
RNGTT-ROMO1,0
CSNK1E-NAE1,0
HRAS-POLM,0
HRAS-TCOF1,0
PTAR1-GOSR1,0
ABCC10-PSMB10,0
IL6-STAT3,0
CALU-PPP1R13B,1
EIF3M-ZNRD1,0
CDKN1B-CHEK1,1
CFP-KIAA1524,0
NAE1-NBN,0
ANXA6-FYN,0
GOLGB1-KRAS,0
DYNC1H1-TUBGCP3,0
EXOSC9-NAT10,0
BCKDK-TSPO,0
PTDSS1-TLE1,0
CTSC-ZNF117,0
PPP1R2-RNF13,0
HRAS-PRDM4,0
DAZAP1-KDM4B,0
CHI3L2-TOMM34,1
MUS81-DCAF17,0
HRAS-SCAMP3,0
DHRS13-JAK2,0
TUBGCP3-TUBGCP5,0
ACTL6A-MAP3K3,0
CTCF-HMGB1,0
ANAPC13-SDHC,0
IL10RA-KRAS,0
CMAS-NAE1,0
NUDC-TUBGCP4,0
LSM3-NRAS,0
MITF-TBCE,0
SNX33-LMNA,0
PIGT-RBM15,0
KRAS-PSD3,0
CD200R1-RPP25,1
REXO2-LLGL2,0
MBD3-MLLT1,0
ABL1-THAP1,0
MED23-RPL8,0
NAE1-TDG,0
FOXO3-LRCH4,0
DAZAP1-PDSS1,0
CCDC53-KLF10,0
BORCS6-NAE1,0
IFI27L2-NRAS,0
DDX54-HECW2,1
EMC4-INTS5,0
CSK-IST1,0
SKP2-TOP1,0
NAGK-PIK3CG,0
ABCC4-BRCA2,0
PMVK-TUBGCP3,0
LUC7L3-MED23,0
HRAS-RAPGEF2,0
MAP2K1-VHL,0
ABCC4-MLLT4,0
ST6GALNAC4-TOPBP1,0
TES-TOMM40,0
AURKA-DCTN4,0
NRAS-TRIM36,0
FEZ2-UBQLN4,0
NDUFB1-PSMD1,0
AURKA-GTF3C3,0
HDHD2-ZNF24,0
INPP5B-XPOT,0
SHPRH-ZNF124,0
APOM-ITGA5,0
CSNK1E-THOP1,0
MUS81-UBR4,0
MAP2K4-SUFU,0
MBD3-PIAS4,0
ERCC1-RRM1,0
ADPRH-BCAP31,0
PSMD1-RPL27,0
ACOT2-LIMK1,0
NAE1-UFC1,0
NRAS-PLK2,0
KRAS-PLP2,0
FGD4-ZNF544,0
ROMO1-SPAG7,0
KCTD10-TBCB,0
NRAS-RMI2,1
MUS81-CCNL1,0
ANKRD17-INTS1,0
CSF1R-RAP1A,0
NCBP2-TMEM230,0
NAMPT-XPO1,0
MTOR-PARP2,0
PTDSS2-TMEM131,0
NMNAT1-NRAS,0
ERMP1-PTGS1,0
AGBL5-NRAS,0
FH-PRMT5,0
GIT1-USP36,0
COPE-MRPS27,0
ARPC1A-DSTN,0
BCL2L1-BSG,0
PSMD1-ZNRD1,0
AIM2-MYC,0
EXOSC9-SLC7A1,0
DDX51-PUS1,0
CBLL1-EREG,0
DCTN4-PPP2R1A,0
MUS81-EIF2AK3,0
REXO2-TIMELESS,0
PLXDC2-PTCD1,1
PDSS2-TTC4,0
PTEN-SCO2,0
PTGIR-RREB1,0
COQ2-PPP2R1A,0
DHX15-RAD23B,0
PHF6-VBP1,0
TP53-UBB,0
SSBP1-ZEB1,0
PNN-PTTG1,0
RNF146-TAB2,0
HDAC2-SMARCA4,0
MLLT4-TRPC4AP,0
TP53-VRK1,0
DNAJB6-MED17,0
GTF3C4-RPE,0
ATAD5-WDHD1,1
HSP90AA1-FZR1,0
MUS81-HSP90AB1,0
NDEL1-RPN1,0
CPNE1-EVI5,0
DHFR-CDC73,0
LPP-MTA2,0
PTTG1-NINJ1,0
ALKBH2-NAE1,0
MYOF-TNFAIP2,0
GAPDH-PFKP,0
EXOSC9-TRPM7,0
CAPRIN1-YAF2,0
FAM102B-LRCH4,0
ATM-BRCA1,0
CHMP2A-FH,0
EBNA1BP2-TUBGCP3,0
CSTB-LANCL2,0
BOD1L1-SPAG7,0
NAE1-SESN1,0
MED23-NDUFB1,0
RCE1-TPK1,0
HRAS-UHRF2,0
JUN-BCL2,0
SIGLEC7-DPEP2,0
DYRK3-SSRP1,0
PPP4R3A-CTDSPL2,0
MUS81-TXNL4A,0
TUBGCP3-WDR61,0
ANP32A-CLPX,0
CNBP-MAPK1,0
CDA-LMTK2,1
OSBPL5-TMEM209,0
NRAS-TOMM20,0
USP7-ZNF500,1
CHEK2-PIK3R1,0
ACTR1A-NRAS,0
GNB1L-NFATC2,0
SNRNP70-ZNF830,0
KRAS-CTNNAL1,0
DCUN1D1-BRCA1,0
MRPS22-TPM2,0
MRPS10-SLCO4A1,0
DAP3-TTC4,0
PTTG1-BPNT1,0
ARID5A-RPP40,1
CKS2-CMPK1,0
MTX2-KRAS,0
NAE1-TRAF4,0
CSK-RALGPS1,1
GPATCH1-NRAS,0
BAZ1B-SH3BGRL3,0
MFSD5-SQSTM1,0
POLE-SPAG7,0
MUS81-POLB,0
LPP-TMEM54,1
FCHO2-ADAM9,0
TLN1-ARHGEF1,0
MRPS27-SPAG7,0
HRAS-MAPK8,0
MLKL-SKP2,0
TK2-KRAS,0
EIF2AK1-IL6ST,0
SPIDR-NAE1,0
EZH2-UBE2S,0
GNPAT-TRRAP,0
OPTN-IFI35,0
HBS1L-PSMD1,0
ARHGAP31-CENPE,0
BNIP1-USE1,0
BLM-BMP2K,0
BCAR3-TNFAIP1,0
FBL-HRAS,0
RNF6-SDHD,0
EIF4G1-RGS1,0
FKBP9-RABGGTA,1
BRCA2-CHEK2,0
FAM50A-GDI1,0
BTBD10-MAFK,0
KRAS-ITPK1,0
RANBP3-BAZ1B,0
MFAP3-TCF19,1
QSOX1-ZNF143,0
PPARD-UBP1,0
CCNI-TPD52L2,0
RNF34-SART3,0
FANCE-MUC12,1
PLCG1-SNX2,1
NOL10-TUBGCP3,0
EXOSC4-MED24,0
MYC-SKP2,0
BCL2L1-TYK2,0
KRAS-STARD7,0
ATG5-ITFG1,0
FOXO4-KRAS,0
POLR2K-RPL8,0
HRH2-SPATA2,0
RAVER1-SAMD1,0
AREG-SCYL3,0
MCM2-RAB14,1
MUS81-TRMT6,0
KLF10-YIPF2,0
MYC-RB1CC1,0
ANKIB1-SH3TC1,0
CHMP7-MFI2,0
CAPRIN1-AZIN1,0
PTTG1-RRM1,0
MAP3K12-SFPQ,1
AHCTF1-NRAS,0
KMT2E-NFKB2,0
BZW2-GNS,0
VPS52-KRAS,0
CDCA7L-CDYL2,1
COPS4-KRAS,0
ATRX-RAD17,0
SAMD4A-UBQLN4,0
CC2D1B-SNRNP27,0
CENPM-SPAG7,1
DHRS7-EXOC5,0
GAB3-LLPH,0
CDC42SE1-FAM13A,0
SPATA2-TFPI,0
CLCN6-NRBP1,0
KDM1A-PUM1,0
RALB-LMNA,0
BCR-GTF2H5,0
NSMCE4A-SPAG7,0
ELF2-YTHDC1,0
FANCA-BRCA1,1
CANT1-SDHB,0
PLGRKT-ARPC5,0
ELP4-TTC4,0
HUS1-PRIM2,0
METAP2-PMF1,0
NELFB-GTF3C5,0
PTEN-ILKAP,0
ATN1-LAPTM5,0
KRAS-TAF6,0
DBNL-EIF4E,0
RETSAT-SH2D2A,0
TTC4-WDR7,0
MRPL37-NACA,0
ITGB1-PSMD9,0
NAGS-KRAS,1
ABCC1-SENP1,0
CDK4-RELA,0
BCL2-HPS1,0
DOT1L-HMGCR,0
RNMT-SEH1L,0
CTSZ-INPP5F,0
NAE1-USP15,0
CHEK2-NF1,0
MRPS21-TUBGCP3,0
ARL2-TUBGCP3,0
ROMO1-YTHDC1,0
MYC-WRN,0
DRAM1-HRAS,0
HRAS-NFATC2,0
KRAS-SNRPD3,0
CENPM-ZNF511,1
DCAF11-RBM23,0
FTSJ3-RAE1,0
INTS5-NDUFB2,0
KRAS-RPS18,0
CACNA2D4-CLSPN,1
SH2B2-ZFP36L1,0
CTSA-NEU1,0
BCAT2-CSK,0
ATAD2-PCNA,0
MUS81-GRWD1,0
DNASE1L1-KRAS,0
CSTB-TFPI,0
MRPL35-RBM17,0
BLM-ZNF142,0
MDN1-SLC17A9,0
ERCC2-NAE1,0
GNS-ZNF273,0
CSF1R-GBP4,0
TNIP1-PSMB8,0
CSNK1A1-RPS27A,0
CCDC84-PPWD1,0
RAB1A-TRAPPC12,0
HNRNPF-CREB1,0
FBXW7-EIF4E3,0
MAPK1-MCL1,0
NDUFA4-SKP2,0
CALU-POU2F1,0
NCBP1-ZNF574,0
HDAC9-HRAS,0
ATG5-UBC,0
NANP-RBMS2,0
PTTG1-ANAPC10,0
EIF4G2-KRAS,0
METAP1-METAP2,0
NRAS-RPP38,0
TNNT1-EIF4H,0
CRYL1-KRAS,0
KRAS-TCERG1,0
SKI-TFRC,0
IKZF4-UPP1,1
SMARCE1-UPP1,0
CANT1-PPARA,0
RAD9A-SSBP1,0
FPR3-PRICKLE4,0
NAE1-RUFY1,0
HUS1-RPA3,0
MRPL32-TRRAP,0
FH-TUBGCP3,0
MUS81-SPTBN1,0
MXD1-POC1A,1
INTS5-MED28,0
DBNL-PAK1IP1,0
NAE1-PSME1,0
RMI1-DHFR,0
MRPL23-NRAS,0
MED22-TUBGCP3,0
CAPRIN1-PTGES3,0
CHMP2B-NRAS,0
ERCC1-MTOR,0
POLE-RELA,0
EFR3A-TUBGCP3,0
EPS8-VARS,0
FAIM-HRH2,0
PTTG1-ACTR5,0
BCL2L2-TM9SF1,0
BAX-CDK4,0
NARS2-TSC1,0
FGD4-HSPBP1,0
ABL1-EDF1,0
LIG3-KRAS,0
BNIP1-MED9,0
SNX2-KRAS,0
NARS2-BCL10,0
DECR1-NKIRAS2,0
ABCB8-FASTK,0
ARMC10-LTBP4,0
ABL1-CD93,0
GRWD1-HNRNPUL1,0
CENPM-TRRAP,1
HIST1H1E-ZNF160,0
AURKA-SRFBP1,0
CENPM-METAP2,1
KLF10-SLC29A3,0
COPS8-HRAS,0
RPUSD3-THUMPD3,0
FBXW7-RERE,0
EPS15-MCRS1,0
PTTG1-VEZF1,0
PLEKHO1-SSB,0
KRAS-CCDC112,0
COIL-POLG2,0
MUS81-PGRMC2,0
CDK12-STMN1,0
BUB3-DUT,0
PTEN-ZNF517,1
TP53-TLK2,0
CD180-TAF4,0
COLEC12-LRCH4,0
AURKA-MRPL11,0
KRAS-PDZD8,0
FUCA2-RAF1,0
CHEK2-WRN,0
CARM1-STMN1,0
MED26-RAB8A,0
PAXBP1-VPS72,0
RBBP8-TP53,0
FH-LEO1,0
LRRC59-NAE1,0
AUP1-TCEB3,0
MTA1-BAZ1B,0
MUS81-MBP,0
MUS81-YARS,0
KRAS-TOMM40,0
KIFC1-TUBB,0
BCL2-FANCF,1
KRAS-EIF2S1,0
PMS2-POLD4,0
ACSL1-BCR,0
RNF146-ILF2,0
HRAS-OXA1L,0
HRAS-NET1,0
MAP3K8-NCAPG2,0
NAGS-NRAS,1
BLM-ZNF768,0
CSK-GALK1,0
BCL10-CREBBP,0
TRPS1-TP53,0
CDK2-POLE,0
EHMT2-TRIM27,0
PTBP1-RNF126,0
KRAS-SMG6,0
FANCD2-KRAS,1
AFG3L2-CACTIN,0
FGL2-KRAS,0
OXSR1-SF3B4,0
CCT2-HRAS,0
FARSA-PTTG1,0
PSMD4-VAMP3,0
MMP19-RBAK,0
BCL2-CDKN1A,0
LIN37-POLR2I,0
KRAS-RAPGEF1,0
PTTG1-RAPH1,0
RNASEL-RRM1,0
MUS81-ARNTL2,0
CPSF7-MEN1,0
NANP-RELA,0
KRAS-IMP4,0
APEX1-SNAI1,0
NRAS-CHERP,0
TP53-TSC2,0
HRAS-KMT5B,0
KLHL28-PPM1A,0
EIF3C-RBBP8,0
CMPK1-FURIN,0
PPP5C-FUS,0
DHX30-ZNF668,0
BIRC3-SYNE2,1
KRAS-FAM50B,0
TP53-CDK1,0
EGLN3-NAE1,0
POLR2K-RPL36A,0
DRAM1-NRAS,0
KRAS-ZCCHC3,0
MASTL-ZNF511,0
CCND3-ZNF813,1
MAP3K11-THADA,0
EFR3A-GNL3L,0
KRAS-KDSR,0
KRAS-ZNF200,0
DCTN4-YAF2,0
MAN1C1-P4HB,0
CSK-KDM6A,0
BCR-IRF7,0
BLM-SERPINE1,0
CBX5-TFB1M,0
PPWD1-RPL5,0
EIF3C-TRRAP,0
CBLL1-LUC7L2,0
CAPZB-NRAS,0
ADGRE1-NAE1,0
UGP2-PSMA3,0
ZNF200-ZNF263,0
CEBPG-FKBP9,1
CDC26-HCCS,0
KLF5-RGS16,0
ATF5-BCR,0
DECR1-SAE1,0
CCNL1-TBL1XR1,0
WDR36-KRAS,0
HRAS-MYC,0
CMPK1-UCK1,0
MGST2-NAE1,0
PCBP1-USP48,0
BIRC3-FHIT,0
FBXW7-AP2A1,0
CTNNBL1-FAM98B,0
HSD17B7-PLIN2,0
KRAS-TMEM150A,0
MUS81-NPC1,0
LPP-MESDC1,0
LDHA-PDHB,0
NHP2-PARP1,0
LIAS-TTC4,0
FH-PNN,0
PTEN-MT1F,0
AIMP2-MRPS17,0
GTF2H4-MRPS14,0
EIF3J-URI1,0
BCL2-EEPD1,0
ATP6AP2-DCTN4,0
KRAS-SOD1,0
MRPS28-PNO1,0
AFG3L2-ZNF574,0
POLD1-THOP1,0
CD2BP2-ZNF688,0
CTSB-KRAS,0
MUS81-FDX1,0
SLC25A45-TSC22D2,0
ASGR2-FOXK1,0
DYNC2LI1-RNF10,0
PNN-RTF1,0
NAE1-ARHGAP27,0
FAM114A2-PTCD1,1
CDC42EP3-KCTD3,0
CTNNA1-MGAT4B,0
ISG20L2-NRAS,0
MT1F-USP42,0
KRAS-CHCHD2,0
EIF3D-MRPL27,0
ISG20L2-MRPL9,0
DCK-PLK3,0
MCPH1-SUFU,0
NAE1-SUMO1,0
MTMR6-N4BP2L2,0
CKAP5-MRPL3,0
PICALM-RDX,0
FAAP24-SYMPK,1
FBXO28-PPP2R1A,0
MLH1-SS18L2,0
POLE-TIMELESS,1
SLC35D2-MAPKAPK2,0
MYC-P2RY14,0
CD302-TAF4,0
AHCTF1-KRAS,0
AFG3L2-SLC7A1,0
APC-HDAC1,0
FH-HSPA5,0
PSMB4-SLC29A1,0
MTF1-SCRIB,0
MUS81-ZNF142,0
MRPL13-TGFBR1,0
CSK-HADHB,0
KRAS-PHF5A,0
HRAS-PDCD11,0
KRAS-SCFD1,0
MRPL18-PRIM2,0
CYTH4-ABI3,0
GTF2H1-POLD1,0
CSK-VPS50,0
EIF4G2-CREB1,0
S100A11-TMEM173,0
HRAS-ZNF383,0
MRC2-ZC3H14,0
MMP19-TAF4,0
NAA15-EEF1E1,0
NRAS-PMF1,0
FNDC3B-IL1R1,0
BLM-TPST2,0
COPS2-NRAS,0
AURKA-VPS72,0
HMGA1-SLC16A5,0
CDC26-RTF1,0
ANAPC13-CDC26,0
NAA25-PELO,0
HYPK-RBBP8,0
ENO2-PKM,0
GDE1-TRIM23,0
CAPG-S100A6,0
B4GALT4-COPB2,0
GTF2H1-TTC4,0
MUS81-ABCC4,0
DNAJB12-EXT2,0
INPP1-MCAT,0
HM13-RNF14,0
CD46-PTK2,0
MED23-SLC39A9,0
CDK6-MT1X,0
TAB2-MMADHC,0
STMN1-HMGB1,0
POLM-RPL13A,0
PTTG1-PRR5,0
LSM3-MRPS25,0
RNPEP-VRK2,0
CHEK1-HDAC6,1
PSMD1-SLC7A1,0
CDC25B-MED28,0
KRAS-CDC5L,0
MRPS5-REXO2,0
ABHD17B-NUDT21,0
CSPP1-RBM12B,0
KRAS-LIN52,0
INO80B-SKI,1
ROMO1-TRNAU1AP,0
BCL2L1-CDKN1A,0
PSMD6-ZNF227,0
PTGIR-RINT1,0
ATR-BSG,0
BCL2-PEX1,0
EEF1E1-HSPD1,0
BOD1L1-PPWD1,0
AAK1-ERP29,0
DIDO1-NRAS,0
EZH2-RSBN1L,0
KRAS-FASTK,0
PTCD1-WDFY4,1
ATP6AP1-METAP2,0
COX6C-EIF3M,0
KRAS-DTYMK,0
BID-MDM2,0
NSMCE4A-TTC4,0
EXOSC9-MAD2L1,1
ZNF550-KRAS,1
CAMK1-DCK,0
TMEM64-ZC3H18,0
KRAS-EMILIN2,0
PIM2-PRKCZ,0
ERI1-ZNF341,1
HEXB-ADAM9,0
ING1-KRAS,0
DCK-RBM12,0
NUP43-KRAS,0
GRB2-LIG1,0
NRAS-NDC1,0
BRCA2-KMT2E,0
COX6C-RPL13,0
BCLAF1-DAGLB,0
BLM-CD300C,0
NFYB-CCNT2,0
CSF1R-TLE1,0
OGFOD1-RPL36A,0
MYC-N6AMT1,1
MYSM1-SLCO4A1,0
EIF4G1-KRAS,0
PMS2-POLM,0
CLEC5A-YLPM1,0
ARHGAP26-SLC5A6,0
KCTD10-MRPS23,0
MYC-TSEN2,1
PHLDA2-SRBD1,0
MUS81-GLMP,0
EXOC5-ME2,0
SSB-TTC4,0
SNX2-RAB1A,0
ABCC10-FURIN,0
CENPK-WDR61,1
PPIE-RPL24,0
P4HA1-ST6GAL1,0
HRAS-NOL6,0
QARS-KRAS,0
PTEN-ZNF473,1
IQCB1-SPI1,0
CFLAR-MAPK1,0
EPB41-HM13,0
INTS5-SPDL1,1
POLR2K-RNGTT,0
SRRM1-CCNT1,0
DHX30-COPS7B,0
CACNA2D4-TMEM63B,0
CSK-ELMOD3,0
GMPR-UBE3C,0
FXYD1-LLPH,1
KIF16B-MESDC1,0
AKT1-PPARA,0
EIF5A2-TP53,0
FOXO3-SCYL2,0
KRAS-UQCR10,0
EWSR1-TP53,0
EPS8-NDUFB3,0
PTX3-TP53,0
NCOR2-SMARCC2,0
PTTG1-TRIM24,0
RAD51AP1-TMPO,0
RABL3-PTAR1,0
NAE1-NAIP,0
CCNF-E4F1,1
HRAS-KCTD12,0
KRAS-SMNDC1,0
POLR2A-RAD23B,0
FDPS-PRIM2,0
SART1-TSC22D2,0
GYPC-RALGAPA2,0
NRAS-VHL,0
BARD1-NAE1,0
CLTA-CEBPB,0
CDC26-INTS5,0
PCBD1-MYC,0
KCMF1-OPRL1,1
CD151-PRKAB2,0
CASP3-MAPK8,0
CSK-AKT1,0
RPL36A-TTC4,0
ATAD2-RFC4,0
SLC2A1-SDCBP,0
PELO-TTC4,0
SCYL2-HSPD1,0
FNTA-PLA2G15,0
CABIN1-NCOR2,0
PITRM1-PTPN12,0
PHLDA2-TERF1,0
MDM2-POLD4,0
CETN2-MT1X,0
ARL4A-NRAS,0
AURKA-DLST,0
DDX39B-KRAS,0
PLCD1-RNF24,0
B4GALT4-ADGRE5,0
