,All_Type
GPR157-HRAS,0
ARL4D-ARPC1B,0
GEN1-NFIL3,1
CABIN1-RARA,0
PSMC1-TUBB,0
NEDD9-ABL2,0
PGM1-UBE2C,1
EIF3H-MRPL33,0
SF1-ZC3H7B,0
COIL-INTS2,0
EIF3C-NDUFB1,0
CAMK1G-XIAP,1
HK3-RPRD1B,0
ABHD17B-BRCA2,0
KRAS-ZNF263,0
LRP10-SERPINB6,0
DDX18-MRPS35,0
CHMP2A-GTF2H4,0
DVL1-PCYOX1,0
HLTF-SLC35A4,0
RPA3-TRIP10,0
RBM26-SLC39A4,0
ARF1-MRPL13,0
MED23-POLR3B,1
PTEN-HIST1H1E,0
CAPZA1-HADHA,0
PTTG1-UBASH3B,0
CATSPER1-RNASEL,0
BCR-PDE4DIP,0
ESYT2-PAK1IP1,0
BLM-CLN8,0
SPAG7-TTC4,0
LRPPRC-SKI,0
KRAS-PRELID1,0
CHCHD3-ULK2,0
HRAS-RFC3,1
KRAS-SRSF9,0
ADAMTSL4-ANP32B,0
NUP153-SLC4A2,0
KRAS-MDH1,0
MASTL-TRRAP,0
NUP35-RNF10,0
DYNLRB1-NRAS,0
ABCC10-DGKA,0
MLH1-TSC1,0
ANKRD13C-KRAS,0
KDM2B-HRAS,0
KRAS-VRK1,0
DAP3-SNRPD3,0
CAPZB-EIF3D,0
GPR157-KRAS,0
RFC3-MSH2,1
MUS81-EIF3E,0
PTTG1-IFT57,0
CHMP2A-KCTD10,0
TFG-WDR7,0
KRAS-AP4S1,0
DERL1-EMC2,0
BRCA1-PTEN,0
EIF4A1-MED28,0
COX16-FTSJ3,0
CD36-MEAF6,0
ID3-PTCD1,1
MAZ-TBC1D10B,0
CCND3-GEN1,1
PTTG1-TJP2,0
RGS3-SLC19A2,0
LAS1L-KRAS,0
RBMS1-SIRT7,0
HRAS-NUP205,0
LPP-PAFAH1B3,0
ELL-BRCA1,0
RBM15-DDX11,0
PARP1-PRR3,0
EPB41-PCBP1,0
CLASP1-NAE1,0
PARP3-PRKAB2,0
CDKN1A-EHMT2,0
GNL3-PPARD,0
ARF4-LMNA,0
TRA2B-DDX46,0
VCL-NUDT14,0
KRAS-FNBP4,0
FES-SRPK1,0
LRRFIP2-PRUNE,0
PRKAR1B-NRAS,0
BOD1L1-LUC7L3,0
DVL3-GSTP1,0
MFHAS1-RGS19,0
CD164-SLCO4A1,0
PRPF31-ZNF576,0
HMGA1-PLOD1,0
KRAS-GEM,0
PLCB3-YIPF4,0
HNRNPA2B1-ZNF273,0
BRCA2-ELK4,0
BDP1-NCAPD2,0
BRCA1-CCNE1,1
CFLAR-MYC,0
KRAS-TRAF5,0
MUS81-BATF3,0
CASP3-EGR1,0
INTS5-NAA25,0
ELP4-NSMCE4A,0
MAPKAPK2-PRKCZ,0
FIZ1-TRIM28,0
CEBPD-PRR11,1
PPARA-NFKB2,0
BCR-CPSF1,0
ZC3H13-KRAS,0
IGF2R-MYC,0
GTF3C1-ZNF500,1
KRAS-PSMC3,0
LRP12-TP53,0
EMC2-NACA,0
GTF2H5-PTGS1,0
PTPRN2-TFG,0
KRAS-PRKRA,0
NAE1-TGFB1,0
CSF2RB-NAE1,0
CYBRD1-RPP40,1
CDC37L1-NRAS,0
FGL2-NRAS,0
RNF139-BRCA1,0
CYFIP1-NRAS,0
CCT2-PIK3C3,0
GBGT1-KRAS,0
BRCA1-MDM4,0
CSK-NDFIP1,0
CDCA7L-LNPEP,0
CITED2-DTX2,0
OSBPL2-SLC16A1,0
SLC39A13-THBS1,0
NAE1-RBBP6,0
CEP152-RBM15,0
LY75-MGAT4B,0
DNAJB6-DLG1,0
CDK12-PIK3CD,0
EIF3D-RNGTT,0
BLM-RPL14,0
CKAP5-MCM3AP,0
MYOF-PINK1,0
HNMT-MAD1L1,0
ACY1-PRKDC,0
RETSAT-TMEM79,1
PRCP-PTCD1,1
INTS5-PRMT5,0
PRKD2-SLC29A1,0
CDK9-ING5,0
BLM-ACO1,0
MAPKAP1-NACA,0
HSF1-PQLC3,0
CDK4-PARP1,0
SLC39A1-WHSC1L1,0
TCAF2-HRAS,1
FCGR1A-KRAS,0
CLPX-RPL4,0
POLE-UNG,1
CDK12-TSPO,0
FH-PPWD1,0
CREB3-TPM1,0
RGS19-ZDHHC2,0
BTG2-SESN1,0
HRAS-NDUFV2,0
HMGB2-SKP2,0
BBS7-FSCN1,0
WEE1-MTOR,1
GNE-PTEN,0
CD163-RUSC1,0
PTTG1-POFUT1,0
CDK5-HMGA1,0
GPN3-RER1,0
BCL2L1-TNFRSF10B,0
ABL1-STAT3,0
MRPS22-TNFSF14,0
PTEN-FBXL15,0
ERO1A-NAE1,0
CPSF1-SYNJ1,0
MED28-TTC4,0
LMNA-VTA1,0
PRKAR1A-RPS6KA2,0
ADCK2-TSC22D2,0
ARL2-PMF1,0
PPM1G-RNF130,0
ATP6V0E1-CSF1R,0
XPO7-MED17,0
CRK-ABL1,0
BRCA2-STMN1,0
INO80D-PUM2,0
AURKA-SNRNP200,0
NCAPG2-SERPING1,0
PTPN12-STK32C,0
PIK3CA-PTEN,0
CAPRIN1-GLUD1,0
CMPK1-MAP3K1,0
BCR-TBCCD1,0
BCL2L1-TLR1,0
IMPA1-PEX2,0
MEMO1-PGM1,0
RIN2-SRGAP1,0
DHRS13-NFKB2,0
PSMC1-SSBP1,0
FH-RPLP2,0
RASA3-UBQLN4,0
HSF1-SDPR,0
CSK-TMEM248,0
FH-NUP85,0
MYC-TICAM2,0
LLPH-MPZ,1
BSG-CSF3R,0
COG6-PTAR1,0
SORT1-TARBP2,0
LEO1-MAT2A,0
KRAS-NXF1,0
PTTG1-MTMR1,0
SND1-PTEN,0
CENPP-ZWINT,1
DVL1-FBXO11,0
HDLBP-ARRB2,0
ZNF134-ZNF419,1
ANKRD17-DAGLB,0
HRAS-KCMF1,0
SLC39A1-TRAF6,0
CSF1R-FOSL1,0
MASTL-SPAG7,0
PHACTR1-TRPC4AP,0
KRAS-CLP1,0
FARSA-PRIM2,0
PSMB7-TTC4,0
NRAS-RBBP6,0
SNRNP70-CRY2,0
DENND4A-RPL4,0
CCNE2-RRAD,0
EPS8-IL13RA1,0
PIK3CG-SLC2A1,0
PELO-TUBGCP4,0
MED23-POLD1,0
DDB1-MEN1,0
IGF2BP3-S1PR1,1
NAE1-PALB2,1
IARS2-RNF14,0
CYB5R4-TAB2,0
BCL2L1-LIG1,0
SPNS1-TES,0
ABL2-CD151,0
DNAJB6-MAPRE1,0
EXOSC6-FH,0
COQ2-ZWINT,0
PINK1-KRAS,0
CSK-POU2F1,0
METAP2-OGFOD1,0
NDUFA2-PELO,0
PLA2G15-TRRAP,0
DHFR-MSH6,0
MLKL-RNF115,0
KRAS-MMEL1,1
COPE-EIF3C,0
CASP8-KRAS,0
SERBP1-SF3A3,0
KRAS-COPS8,0
CENPE-TOPBP1,0
PTEN-LAP3,0
ZFC3H1-HRAS,0
BLM-DPP9,0
HNRNPA2B1-PLD2,0
APC-VHL,0
PTTG1-TRMT5,0
NAE1-UBE2C,1
IDUA-LRCH3,0
EIF3F-PTPN12,0
CRADD-NAE1,0
MRFAP1L1-ILF2,0
BIRC3-FLI1,0
TPX2-XPO1,1
COG3-NFE2L1,0
MAST2-NANP,0
CARD11-NAE1,0
IGF1R-SKP2,0
PTTG1-MED9,0
COG3-NACA,0
DLGAP3-NANP,0
HM13-WDR36,0
EIF2AK2-KRAS,0
PTEN-GPX4,0
CAMK2G-TYK2,0
HSF1-MANEA,0
LONRF3-S100A11,0
LARP7-UBA6,0
CORO2A-F11R,0
INF2-ZNF273,0
CREB5-NOP16,0
CDKN1A-MYC,0
RPL26-YWHAZ,0
CTNNBL1-DUSP18,0
GTF3C3-SNIP1,0
LPP-MRPL37,0
CDC7-CCNF,1
GAPDH-PGAM1,0
EHMT2-CEP131,0
PTTG1-LYRM5,0
LY96-MTL5,1
PTEN-SLC38A9,0
MUS81-FXYD1,1
CENPP-NOL8,0
PACS2-STRN4,0
PTTG1-CSNK1E,0
ACLY-PDK4,0
BAZ1A-PRPF39,0
GNS-LRCH4,0
KRAS-RPS4X,0
EXOC5-RRN3,0
ARPC3-PGM1,0
ABHD11-ANO6,0
AKR1A1-KRAS,0
MED24-NACA,0
ARIH1-TUBB,0
NAE1-PFDN5,0
ARID1B-NEURL2,1
BOD1L1-NUDC,0
BMF-NAE1,0
ASB1-SQLE,0
NRAS-SCFD1,0
ARPC4-MYC,0
TTC3-NRAS,0
PAK1IP1-RIOK1,0
RAD17-URI1,0
GALNS-UBR5,0
AHCYL2-EIF3I,0
NIPAL2-TRIB3,0
ARPC1A-KLHL12,0
ABL1-ALDOC,0
ANKRD40-SRRT,0
MCPH1-TSC1,0
FAM3C-NAE1,0
FH-NCBP1,0
ECH1-NRAS,0
E4F1-MAZ,0
HN1L-MARCO,0
PTEN-MRPL30,0
PRDM2-PTCD1,1
CDK12-PARP1,0
LARS2-PIK3CD,0
BIRC5-SLC16A5,1
CCND3-ZNF107,0
ANAPC13-AURKA,0
MTF1-PTCD1,1
KRAS-ITFG1,0
CMPK1-LMTK2,0
PTGS1-SYT11,0
IGHMBP2-RAD23B,0
EXOSC4-BRCA1,0
CSGALNACT2-MYC,0
AZI2-DYNC1LI1,0
CDK7-XRCC4,0
GALNS-IKBKB,0
FAM114A1-DSTN,0
XRCC1-PARP1,0
DUSP22-RPN1,0
GOLT1B-NUP54,0
CAMK2G-PDK2,0
PIK3CA-TBL1XR1,0
BCR-PLCB1,0
HRAS-PSMB6,0
HEXA-TTPAL,0
NAE1-ZC3HC1,0
LSM2-MYC,0
DAP3-KCTD10,0
FFAR3-ZKSCAN1,0
CCNI-RIPK2,0
FBXL19-RTN4,1
KRAS-NUBP2,0
PTEN-COPZ1,0
EXOG-WDR48,0
DDX10-SYNE2,1
DIABLO-LXN,0
PARP3-YARS2,0
TUBA1A-ING5,0
ANKRD26-HRAS,0
CARM1-PLSCR1,0
SMAD4-WEE1,1
MRPS27-RPL13,0
CSK-VKORC1,0
MGAT4B-ROCK2,0
SCRIB-UTRN,0
CREBBP-TSC1,0
ELOVL5-HGS,0
RETSAT-UBQLN4,0
ABL1-PARP2,0
ARF1-YWHAZ,0
NRAS-RAB22A,0
KRAS-UBA2,0
RGS19-WHSC1L1,0
ELOVL5-SLC35A4,0
EBNA1BP2-PELO,0
CCND3-IQGAP1,0
CYB5B-MBTPS2,0
PPAT-SLC35A1,0
TBCB-VPS72,0
ABL1-GLT8D1,0
CCT2-RAD51C,0
MFI2-TROVE2,0
ANXA5-NRAS,0
MYC-NAMPT,0
CENPM-FBXO28,1
DNAJC2-MAP3K12,1
ASXL1-PIGV,0
KRAS-MFSD14B,0
CSF1R-PIK3CD,0
LARS2-PIK3CG,0
KRAS-GPI,0
FLI1-MCPH1,0
KCTD10-MRPL37,0
RAF1-WDR48,0
MTRF1L-MSI2,0
HRAS-MLKL,0
CHD9-SCRIB,0
NOL12-LIG1,0
ARIH1-SPAG7,0
CENPM-RPL13,1
MED19-THBD,0
NAE1-PPP1R13B,1
CRELD2-NRAS,0
CSK-MSH3,0
MUS81-ZMYND15,0
IGF1R-PIM1,0
RFC1-CHEK2,0
CDK6-MTOR,0
APBB1-MINA,1
ADPRH-TMEM79,1
ACTR1A-KRAS,0
CDA-DVL2,0
MTOR-RPL13A,0
EPS8-TWF1,0
GTF2H4-PPCS,0
EXOSC1-KRAS,0
ATG5-KRAS,0
AKT1-NAE1,0
